Estacao	Data	Hora	Precipitacao
82191	30/11/1969	1200	2
82191	01/12/1969	1200	0,5
82191	02/12/1969	1200	0
82191	03/12/1969	1200	0
82191	04/12/1969	1200	7,4
82191	05/12/1969	1200	14
82191	06/12/1969	1200	0
82191	07/12/1969	1200	0
82191	08/12/1969	1200	0
82191	09/12/1969	1200	0
82191	10/12/1969	1200	0
82191	11/12/1969	1200	0
82191	12/12/1969	1200	0
82191	13/12/1969	1200	0
82191	14/12/1969	1200	1
82191	15/12/1969	1200	2,2
82191	16/12/1969	1200	0
82191	17/12/1969	1200	0,6
82191	18/12/1969	1200	0
82191	19/12/1969	1200	0,6
82191	20/12/1969	1200	1,2
82191	21/12/1969	1200	0
82191	22/12/1969	1200	0
82191	23/12/1969	1200	2,4
82191	24/12/1969	1200	0
82191	25/12/1969	1200	0
82191	26/12/1969	1200	0
82191	27/12/1969	1200	1
82191	28/12/1969	1200	0
82191	29/12/1969	1200	0,6
82191	30/12/1969	1200	0
82191	31/12/1969	1200	9,4
82191	01/01/1970	1200	2,8
82191	02/01/1970	1200	1,4
82191	03/01/1970	1200	0
82191	04/01/1970	1200	10
82191	05/01/1970	1200	0,4
82191	06/01/1970	1200	0
82191	07/01/1970	1200	19,2
82191	08/01/1970	1200	0
82191	09/01/1970	1200	0,8
82191	10/01/1970	1200	1,4
82191	11/01/1970	1200	0
82191	12/01/1970	1200	54,8
82191	13/01/1970	1200	18
82191	14/01/1970	1200	3,6
82191	15/01/1970	1200	0,2
82191	16/01/1970	1200	0
82191	17/01/1970	1200	0,4
82191	18/01/1970	1200	70,2
82191	19/01/1970	1200	0
82191	20/01/1970	1200	0
82191	21/01/1970	1200	10
82191	22/01/1970	1200	84,2
82191	23/01/1970	1200	0,8
82191	24/01/1970	1200	0,8
82191	25/01/1970	1200	10,6
82191	26/01/1970	1200	6
82191	27/01/1970	1200	0,8
82191	28/01/1970	1200	3,4
82191	29/01/1970	1200	0
82191	30/01/1970	1200	4
82191	31/01/1970	1200	32,4
82191	01/02/1970	1200	3
82191	02/02/1970	1200	14,6
82191	03/02/1970	1200	17
82191	04/02/1970	1200	2,2
82191	05/02/1970	1200	0,4
82191	06/02/1970	1200	2,8
82191	07/02/1970	1200	11,2
82191	08/02/1970	1200	7,2
82191	09/02/1970	1200	0
82191	10/02/1970	1200	6
82191	11/02/1970	1200	9,2
82191	12/02/1970	1200	24,6
82191	13/02/1970	1200	6,6
82191	14/02/1970	1200	17,4
82191	15/02/1970	1200	0
82191	16/02/1970	1200	5,8
82191	17/02/1970	1200	9,2
82191	18/02/1970	1200	7,2
82191	19/02/1970	1200	14,6
82191	20/02/1970	1200	0,4
82191	21/02/1970	1200	8,8
82191	22/02/1970	1200	8,2
82191	23/02/1970	1200	39,4
82191	24/02/1970	1200	24
82191	25/02/1970	1200	27,6
82191	26/02/1970	1200	1,6
82191	27/02/1970	1200	26,2
82191	28/02/1970	1200	71,4
82191	02/03/1970	1200	0,2
82191	03/03/1970	1200	40,2
82191	04/03/1970	1200	0,4
82191	05/03/1970	1200	0,4
82191	06/03/1970	1200	8
82191	07/03/1970	1200	2,4
82191	08/03/1970	1200	0
82191	09/03/1970	1200	17,6
82191	10/03/1970	1200	4,2
82191	11/03/1970	1200	9,2
82191	12/03/1970	1200	10
82191	13/03/1970	1200	2,6
82191	14/03/1970	1200	10,4
82191	15/03/1970	1200	4,4
82191	16/03/1970	1200	37,4
82191	17/03/1970	1200	18,6
82191	18/03/1970	1200	17,4
82191	19/03/1970	1200	22,4
82191	20/03/1970	1200	24
82191	21/03/1970	1200	2,4
82191	22/03/1970	1200	12
82191	23/03/1970	1200	0
82191	24/03/1970	1200	4,4
82191	25/03/1970	1200	7,8
82191	26/03/1970	1200	5,8
82191	27/03/1970	1200	16,8
82191	28/03/1970	1200	15,8
82191	29/03/1970	1200	26,4
82191	30/03/1970	1200	11,5
82191	31/03/1970	1200	4,8
82191	01/04/1970	1200	0
82191	02/04/1970	1200	13,2
82191	03/04/1970	1200	37,6
82191	04/04/1970	1200	0
82191	05/04/1970	1200	0
82191	06/04/1970	1200	0
82191	07/04/1970	1200	3,6
82191	08/04/1970	1200	10,4
82191	09/04/1970	1200	0,6
82191	10/04/1970	1200	12,1
82191	11/04/1970	1200	2,5
82191	12/04/1970	1200	1
82191	13/04/1970	1200	2,2
82191	14/04/1970	1200	0
82191	15/04/1970	1200	5,4
82191	16/04/1970	1200	5
82191	17/04/1970	1200	9,4
82191	18/04/1970	1200	0
82191	19/04/1970	1200	0,2
82191	20/04/1970	1200	2,6
82191	21/04/1970	1200	30,2
82191	22/04/1970	1200	0
82191	23/04/1970	1200	17,9
82191	24/04/1970	1200	1,5
82191	25/04/1970	1200	0,6
82191	26/04/1970	1200	0
82191	27/04/1970	1200	0,8
82191	28/04/1970	1200	2
82191	29/04/1970	1200	3,6
82191	30/04/1970	1200	55
82191	01/05/1970	1200	11,6
